N,M_PN,abs_diff_from_limit,gap_from_previous,K,U,Q,R
710,1.25566067597150816315234933021662310995190024153943483060765414258749565443411646037681826199982714598510792570125216990,2.266382e-04,3.067170e-04,48,614,96,0
712,1.25516754480403118590631651734174617675209261198873105900793555600575564444209919482640372768089912638760864087528337163,2.664929e-04,4.931312e-04,47,618,92,2
714,1.25562874694060955055164665398311286739292771975943602052119253717380053029092366215273546966136004506542580237742064498,1.947092e-04,4.612021e-04,48,618,96,0
716,1.25495230467880839831193085864714864366022477414239169748790451898793960633360963613270487278957257383538616861507194680,4.817330e-04,6.764423e-04,47,622,92,2
718,1.25553607504277094400003211977315440635593681569553583845259410725724721470626932215944674157002510506829905143410577156,1.020373e-04,5.837704e-04,48,622,96,0
720,1.25554619345828460422039522705311053350987369179754874000116710175476579029399754339180334307998519592669859800702150248,1.121557e-04,1.011842e-05,49,622,96,2
722,1.25539891953033206975803880881723679187264391238132408327175853159651012310445319549514398337100302772100568368667416234,3.511820e-05,1.472739e-04,48,626,96,0
724,1.25564842289065115943525588573944056550568014446991777501633133088177780008322859284607357488693573355927601396128902546,2.143852e-04,2.495034e-04,49,626,96,2
726,1.25522650703360261514487483442036855221870938326790124508418726899955404183826051545736178633563286634844778880893935950,2.075307e-04,4.219159e-04,48,630,96,0
728,1.25563755533942498967516385491371680935133203108464208189599542021591820564024820206083874490836216429311275555589883964,2.035176e-04,4.110483e-04,49,630,96,2
730,1.25502484201228133945507256537896824056473640225499782819956555969663440393184295587244219754573620656259428903911094767,4.091957e-04,6.127133e-04,48,634,96,0
732,1.25556136882253986907880864007878910016434114840225163676667926835648536884268440776816214296637058674376867154513132339,1.273311e-04,5.365268e-04,49,634,96,2
734,1.25548110271169708759778344259364965672337822287189374844671605423842165603046297252782875938214868882398028602162066790,4.706498e-05,8.026611e-05,50,634,100,0
736,1.25543878514444627671429517299334800206818721169153745356723528646204713936831272845822303260924559256483319655711794172,4.747417e-06,4.231757e-05,49,638,96,2
738,1.25562968161553367824347747879155210171567665372563925836394487591751629947886670136748969723719904102691637136489629686,1.956439e-04,1.908965e-04,50,638,100,0
740,1.25528000819851143745233672212681345659867664715659240691513123305438502859866913306164384597164049955200830513743547816,1.540295e-04,3.496734e-04,49,642,96,2
